condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A5_plug_mem_hook,s3,,AdvancedExampleModifiedCamClay,1.0,success,False,159.1,10,0,21,0.11416968000000001
A5_plug_mem_hook,s3,,AdvancedExampleViscoDruckerPrager,0.9983,success,False,135.1,5,0,9,0.04274604
A5_plug_mem_hook,s3,,ExampleDPWellbore,0.9696,success,False,220.5,13,0,24,0.18965724
A5_plug_mem_hook,s3,,ExampleEDPWellbore,1.0,success,False,169.1,9,0,15,0.09442355999999999
A5_plug_mem_hook,s3,,ExampleIsothermalLeakyWell,0.9802,success,False,236.9,7,0,14,0.13625826000000002
A5_plug_mem_hook,s3,,ExampleMandel,0.3068,success,False,358.6,19,0,31,0.30008357999999996
A5_plug_mem_hook,s3,,ExampleThermalLeakyWell,0.3668,success,False,790.8,17,0,42,0.5388937199999999
A5_plug_mem_hook,s3,,ExampleThermoporoelasticConsolidation,0.2908,success,False,375.5,19,0,32,0.33101946000000004
A5_plug_mem_hook,s3,,TutorialPoroelasticity,0.0,success,False,244.2,15,0,19,0.14509728
A5_plug_mem_hook,s3,,TutorialSneddon,0.9822,success,False,433.4,8,0,34,0.24701921999999998
A5_plug_mem_hook,s3,,buckleyLeverettProblem,0.9611,success,False,212.8,7,0,24,0.1732068
A5_plug_mem_hook,s3,,kgdExperimentValidation,1.0,success,False,181.8,10,0,14,0.0774264
A5_plug_mem_hook,s3,,pknViscosityDominated,1.0,success,False,311.8,17,0,24,0.15677424
M_placebo,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.0451,success,False,840.1,23,0,46,0.66864474
M_placebo,s1,,AdvancedExampleDeviatedElasticWellbore,0.0234,success,False,305.1,11,0,26,
M_placebo,s1,,AdvancedExampleDruckerPrager,0.5667,success,False,443.2,23,0,41,0.23458638000000004
M_placebo,s1,,AdvancedExampleExtendedDruckerPrager,0.4646,success,False,420.8,18,0,44,0.32992926
M_placebo,s1,,AdvancedExampleModifiedCamClay,1.0,success,False,195.2,8,0,25,
M_placebo,s1,,AdvancedExampleViscoDruckerPrager,0.511,success,False,173.6,17,0,22,
M_placebo,s1,,ExampleDPWellbore,0.1471,success,False,387.4,12,0,27,0.19341876
M_placebo,s1,,ExampleEDPWellbore,0.3647,success,False,127.6,13,0,16,
M_placebo,s1,,ExampleIsothermalLeakyWell,0.1844,success,False,454.5,15,0,27,0.1897614
M_placebo,s1,,ExampleMandel,0.1177,success,False,138.8,14,0,27,
M_placebo,s1,,ExampleThermalLeakyWell,0.2874,success,False,649.2,21,0,33,0.34937208
M_placebo,s1,,ExampleThermoporoelasticConsolidation,0.208,success,False,406.1,18,0,31,0.32052186
M_placebo,s1,,TutorialPoroelasticity,0.3926,success,False,376.5,11,0,29,0.21042780000000003
M_placebo,s1,,TutorialSneddon,0.1795,success,False,472.0,14,0,37,0.30308406
M_placebo,s1,,buckleyLeverettProblem,0.2521,success,False,509.3,17,0,43,0.43988646000000003
M_placebo,s1,,kgdExperimentValidation,0.413,success,False,399.0,21,0,37,0.38186508
M_placebo,s1,,pknViscosityDominated,0.2155,success,False,451.7,16,0,24,0.15736044000000002
M_placebo,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.1912,success,False,458.3,18,0,25,0.27496133999999994
M_placebo,s2,,AdvancedExampleDeviatedElasticWellbore,0.1215,success,False,283.0,14,0,29,0.15792684
M_placebo,s2,,AdvancedExampleDruckerPrager,0.521,success,False,220.1,16,0,23,0.13247994
M_placebo,s2,,AdvancedExampleExtendedDruckerPrager,0.5129,success,False,341.3,11,0,24,0.20191259999999997
M_placebo,s2,,AdvancedExampleModifiedCamClay,0.5094,success,False,230.9,10,0,21,0.11603748
M_placebo,s2,,AdvancedExampleViscoDruckerPrager,0.4565,success,False,178.2,8,0,17,0.09660563999999999
M_placebo,s2,,ExampleDPWellbore,0.1451,success,False,641.4,25,0,49,0.5324266799999999
M_placebo,s2,,ExampleEDPWellbore,0.9891,success,False,259.0,15,0,21,0.13441602
M_placebo,s2,,ExampleIsothermalLeakyWell,0.3483,success,False,570.6,21,0,31,0.31586262000000004
M_placebo,s2,,ExampleMandel,0.9698,success,False,222.9,21,0,30,0.2175372
M_placebo,s2,,ExampleThermalLeakyWell,0.4239,success,False,422.9,19,0,28,0.20216394
M_placebo,s2,,ExampleThermoporoelasticConsolidation,0.1805,success,False,511.4,18,0,38,0.43244364000000013
M_placebo,s2,,TutorialPoroelasticity,0.0,success,False,505.9,20,0,34,0.30923244000000005
M_placebo,s2,,TutorialSneddon,0.0685,success,False,371.9,15,0,34,0.2812152600000001
M_placebo,s2,,buckleyLeverettProblem,0.5917,success,False,345.0,14,0,33,0.37409970000000003
M_placebo,s2,,kgdExperimentValidation,0.3196,success,False,493.3,17,0,35,0.37920054
M_placebo,s2,,pknViscosityDominated,0.3982,success,False,282.1,13,0,22,0.16341354000000002
M_placebo,s3,,AdvancedExampleCasedContactThermoElasticWellbore,0.1505,success,False,354.3,20,0,25,0.10913532000000001
M_placebo,s3,,AdvancedExampleDeviatedElasticWellbore,0.2069,success,False,318.5,18,0,34,0.24105432
M_placebo,s3,,AdvancedExampleDruckerPrager,0.4474,success,False,147.6,12,0,20,0.08145336
M_placebo,s3,,AdvancedExampleExtendedDruckerPrager,0.4084,success,False,285.8,17,0,32,0.19863606000000003
M_placebo,s3,,AdvancedExampleModifiedCamClay,0.2586,success,False,166.7,8,0,18,0.07948013999999999
M_placebo,s3,,AdvancedExampleViscoDruckerPrager,0.9497,success,False,133.5,9,0,19,0.24897504000000004
M_placebo,s3,,ExampleDPWellbore,0.3869,success,False,581.9,50,0,74,2.4127469400000003
